EndNote record #,First author,Year published,Clear.Inclusion.Criteria,Reliable.Condition.Measure,Valid.Condition.Measure,Same.Cohort,Complete.Demographics,Complete.Clinical,Site.Information,Overall
12706,Agus,1973,Y,Y,N,Y,Y,Y,Y,M
12858,Atmar,2011,Y,Y,Y,Y,Y,Y,U,L
12868,Atmar,2008,Y,Y,Y,N,Y,N,Y,H
12869,Atmar,2014,Y,Y,Y,Y,Y,Y,Y,L
13007,Bernstein,2015,Y,Y,Y,N,Y,Y,U,M
13750,Dolin,1971,N,Y,N,N,N,Y,Y,H
14000,Frenck,2012,Y,Y,Y,U,Y,Y,Y,L
14201,Gordon,1956,Y,Y,N,Y,Y,N,Y,H
14213,Graham,1994,N,Y,Y,N,Y,Y,Y,H
14906,Keswick,1985,N,Y,Y,Y,N,Y,Y,H
15303,Leon,2011,Y,Y,Y,Y,Y,Y,Y,L
15393,Lindesmith,2005,N,Y,Y,U,N,Y,Y,H
15394,Lindesmith,2003,N,Y,Y,N,N,N,N,H
15577,Madore,1990,N,Y,Y,N,Y,Y,N,H
15694,Mateo,2020,Y,Y,Y,Y,Y,Y,Y,L
16149,Okhuysen,1995,N,Y,Y,Y,N,U,Y,H
16273,Parker,1994,N,Y,Y,U,N,Y,N,H
16835,Seitz,2011,Y,Y,Y,Y,Y,N,Y,M
17249,Teunis,2008,N,Y,Y,U,N,U,N,H
17336,Treanor,1988,N,Y,Y,Y,N,Y,Y,H
